Time,PM10,PM25,PM100,Temperature,Gas,Relative Humidity,Pressure,Altitude
1707958151.5959125,1,1,1,22.010859375,251870,43.41573079636344,1004.5137534284164,72.99044510056522
1707958152.608883,1,1,1,21.991328125,251870,43.449293086616144,1004.5204611657291,72.9342058093427
1707958153.6221666,1,1,1,21.9762890625,252642,43.47740430220653,1004.5209925709266,72.92975039269592
1707958154.635484,1,1,1,21.965546875,251870,43.506000964046116,1004.5201506288178,72.93680941916683
1707958155.6488044,0,1,1,21.955,253420,43.53462369138558,1004.5162158592899,72.9697994495042
1707958156.6622882,0,1,1,21.942109375,253420,43.57491294170149,1004.518622744947,72.94961954336921
1707958157.675895,0,1,1,21.9286328125,253420,43.597253230338694,1004.5166322135223,72.96630863304674
1707958158.6891167,0,1,1,21.916328125,254006,43.61972742173949,1004.514888449866,72.98092878496767
1707958159.7019656,0,1,1,21.9044140625,254595,43.62435395150794,1004.5291780362751,72.86112191371363
1707958160.714886,0,1,1,21.8856640625,254202,43.65207200555924,1004.5286343009584,72.8656806786975
1707958161.7278416,0,1,1,21.863203125,254792,43.64954947191136,1004.5218927171982,72.92220337511995
1707958162.740754,0,1,1,21.8446484375,254990,43.653430871038665,1004.5233808550762,72.90972652300614
1707958163.753683,0,1,1,21.8274609375,256979,43.663430937837234,1004.5271503369592,72.87812248345293
1707958164.7665887,0,1,1,21.8055859375,257180,43.65501022158759,1004.5282173347034,72.86917659268704
1707958165.7795265,0,1,1,21.778828125,257784,43.669900963043624,1004.5296720869451,72.85697971458305
1707958166.7924821,0,1,1,21.745625,258797,43.660210071101986,1004.5254861061997,72.89207569287535
1707958167.805367,0,1,1,21.725703125,256979,43.68779810555256,1004.5212637634614,72.9274766562923
1707958168.8183093,0,1,1,21.7040234375,256979,43.697295312369015,1004.5243556622518,72.9015535485232
1707958169.8311865,0,1,1,21.6833203125,259000,43.706902493381776,1004.5273677173443,72.87629992866947
1707958170.8441737,0,1,1,21.6596875,257582,43.722146966452414,1004.5340269245409,72.82046813727015
1707958171.8570485,0,1,1,21.6356640625,257582,43.755247972550514,1004.5366139962939,72.79877782069913
1707958172.8699112,0,1,1,21.608515625,256979,43.788002843228085,1004.5271455926799,72.87816226031951
1707958173.882769,0,1,1,21.58234375,259408,43.820872073271374,1004.5261387827552,72.88660353324646
1707958174.8956697,0,1,1,21.560859375,259817,43.8542729301594,1004.5295422994491,72.85806787336249
